,AAA,AA,A,BBB,BB,B,CCC/C,,,
1,0.00%,0.02%,0.05%,0.16%,0.61%,3.33%,27.08%,,,
2,0.03%,0.06%,0.14%,0.45%,1.92%,7.71%,36.64%,,,
3,0.13%,0.12%,0.23%,0.78%,3.48%,11.55%,41.41%,,,
4,0.24%,0.21%,0.35%,1.17%,5.05%,14.58%,44.10%,,,
5,0.35%,0.31%,0.47%,1.58%,6.52%,16.93%,46.19%,,,
6,0.45%,0.42%,0.62%,1.98%,7.85%,18.83%,47.09%,,,
7,0.51%,0.50%,0.79%,2.33%,9.01%,20.36%,48.26%,,,
8,0.59%,0.58%,0.93%,2.67%,10.04%,21.60%,49.05%,,,
9,0.64%,0.65%,1.08%,3.00%,10.97%,22.70%,49.76%,,,
10,0.70%,0.72%,1.24%,3.32%,11.78%,23.74%,50.38%,,,
