Firm type,greater than,≤ to,Rating is,spread
small or risky,-100000,0.499999,D2/D,0.2
small or risky,0.5,0.799999,C2/C,0.17
small or risky,0.8,1.249999,Ca2/CC,0.1178
small or risky,1.25,1.499999,Caa/CCC,0.0851
small or risky,1.5,1.999999,B3/B-,0.0524
small or risky,2,2.499999,B2/B,0.0361
small or risky,2.5,2.999999,B1/B+,0.0314
small or risky,3,3.499999,Ba2/BB,0.0221
small or risky,3.5,3.9999999,Ba1/BB+,0.0174
small or risky,4,4.499999,Baa2/BBB,0.0147
small or risky,4.5,5.999999,A3/A-,0.0121
small or risky,6,7.499999,A2/A,0.0107
small or risky,7.5,9.499999,A1/A+,0.0092
small or risky,9.5,12.499999,Aa2/AA,0.007
small or risky,12.5,100000,Aaa/AAA,0.0059
large or safe,-100000,0.199999,D2/D,0.2
large or safe,0.2,0.649999,C2/C,0.17
large or safe,0.65,0.799999,Ca2/CC,0.1178
large or safe,0.8,1.249999,Caa/CCC,0.0851
large or safe,1.25,1.499999,B3/B-,0.0524
large or safe,1.5,1.749999,B2/B,0.0361
large or safe,1.75,1.999999,B1/B+,0.0314
large or safe,2,2.2499999,Ba2/BB,0.0221
large or safe,2.25,2.49999,Ba1/BB+,0.0174
large or safe,2.5,2.999999,Baa2/BBB,0.0147
large or safe,3,4.249999,A3/A-,0.0121
large or safe,4.25,5.499999,A2/A,0.0107
large or safe,5.5,6.499999,A1/A+,0.0092
large or safe,6.5,8.499999,Aa2/AA,0.007
large or safe,8.5,100000,Aaa/AAA,0.0059
