,Agriculture,Mining,Utilities,Construction,Manufacturing,Retail,Transportation,Information,Health Care,All Sectors
1,82.30%,81.80%,84.00%,74.30%,82.80%,83.10%,76.90%,75.20%,81.40%,78.30%
2,74.80%,71.20%,73.50%,59.80%,72.40%,72.40%,63.60%,62.70%,72.20%,66.20%
3,66.10%,62.90%,67.00%,45.60%,62.20%,63.10%,52.30%,53.30%,67.40%,56.60%
4,61.20%,53.80%,62.90%,37.10%,54.10%,56.50%,45.00%,46.40%,61.30%,49.80%
5,57.40%,51.20%,56.50%,33.20%,49.40%,52.10%,41.10%,41.90%,55.90%,45.40%
6,54.10%,47.20%,55.60%,30.60%,46.30%,48.50%,37.70%,37.20%,54.80%,42.30%
7,51.60%,42.90%,51.60%,28.40%,43.80%,45.70%,34.90%,34.00%,52.90%,39.60%
8,49.50%,40.50%,50.30%,27.10%,41.50%,43.30%,32.40%,31.40%,48.40%,37.10%
9,46.50%,37.10%,47.60%,25.80%,40.00%,41.00%,30.50%,27.40%,45.50%,34.80%
10,44.90%,32.30%,44.90%,24.70%,38.10%,39.00%,28.40%,25.50%,42.50%,32.80%
